id	sex	bdate	education	occupation	langs
219352063	2	1987			
3901075	2	0			
138613236	2	1999			
153222295	1	1994			
51838761	2	0			
219288203	1	0			['Русский', 'Українська', 'English']
52670684	2	1994			
49124049	2	1987			
970901	2	0			
152261903	2	1996			['Русский', 'English']
152636	1	1988			
120220759	2	1997			
346186228	1	1989			
20765706	1	0			
189248897	1	0			['Русский', 'English', '汉语']
20081024	1	0			
11905767	1	0			
337992171	1	1989			
67904408	1	0			
52584666	2	0			['Русский', 'English', 'Français', 'Deutsch']
1919512	1	1988			['Русский', 'English']
103844587	2	0			
167645908	1	1993			['Русский', 'English']
63605533	1	0			
20466775	1	0			
120198486	1	1992			
29668820	2	1994			
19426810	2	0			
40762252	1	1990			
8890988	1	1991			
176654052	2	1901			
81576124	1	1999			
66128848	2	1996			
56781132	2	1984			
98390492	2	1997			
94502943	1	0			
67116892	2	0			
23094545	2	1993			
23064609	1	1989			
17209952	2	0			
184911203	2	0			
165794419	2	0			
134015441	2	0			
126071854	2	1997			
104087666	2	0			
74143647	1	1995			
22814470	1	0			
235581193	1	2000			
158870066	2	0			
142839080	2	0			
2496256	1	0			
313058499	1	1971			
242258251	1	0			
203288956	2	0			
163469776	1	0			
154853156	1	0			
135573946	1	0			
134641539	1	0			
134438473	1	0			
96597571	2	1989			
52179289	1	1991			
47912609	2	0			
32845386	2	0			
16493007	2	1994			['Русский', 'English', 'Романи']
4389784	1	1988			
154052016	1	0			['Русский', 'English']
153678651	2	0			
146211898	1	1994			
132247693	2	1980			
119921283	2	0			
92723665	2	1991			
81980698	1	1988			
79524395	1	0			
49208388	1	1994			
34375203	1	1993			
11140018	1	1990			
186386694	2	0			
115139993	1	1991			
74365142	1	1994			
61804100	1	1998			
54445601	1	1993			
47938015	1	0			
43560020	1	1990			
35585073	2	1996			
27123503	1	0			
16110214	1	1991			
8530869	1	1990			
259550002	1	2002			['Русский', 'English']
201519221	2	0			
185514868	1	0			
180515233	2	1986			
179795601	1	1996			['Русский', 'English', 'Українська']
176796181	2	0			['Русский', 'Français']
172403273	1	0			
152366760	1	1997			
148273308	1	1993			
147658843	2	0			
147067845	1	0			
144547872	1	1999			
143870545	2	0			
138640209	1	0			['Русский', 'Français']
138613714	2	0			
138605556	1	0			
135679680	2	1995			
123530575	1	0			
121732372	1	1993			
108361933	1	0			
106244617	2	0			
105724140	1	0			
86260976	2	0			
71775776	2	0			
67287263	1	0			
66827358	1	1992			
66570608	1	1994			
58576704	1	1994			
55588310	1	1997			
54839197	2	1996			
50845361	1	0			
43434614	2	0			
43375882	1	0			
32274697	2	1980			
22601199	1	0			
16751035	2	1991			
13636653	1	1991			
8182534	1	1987			
5655509	1	1987			['Русский', 'Español', 'English']
2478549	1	0			
823681	2	1988			
265871468	1	1983			
229006543	1	0			['Русский', 'English']
209084195	1	0			
208787434	1	0			
190642172	1	0			
188517147	1	0			
185151803	1	0			
173489697	1	1999			
170947213	1	0			
169708193	2	1999			
161870531	1	0			['Русский', 'English', 'Deutsch']
152420798	1	1989			
151365008	1	1991			
143209136	2	0			
137310608	1	1992			
136321575	1	1997			
134547148	1	1997			
134207857	1	0			
133004653	2	1996			['Русский', 'English', 'Français']
132917456	1	0			
130012639	1	0			
113563141	1	1994			
110613239	1	1986			
102623981	1	0			
98630952	1	0			
97861822	2	0			['Русский', 'Нохчийн мотт', 'العربية']
97216294	2	1996			['Русский', 'English', 'Deutsch', '日本語', 'Français']
96331010	2	0			['Русский', 'Mande', 'SeSotho', 'Ελληνικά']
94481512	1	0			
93219185	1	1991			
90103780	1	0			
85214785	1	0			
66071395	1	1988			
64512209	1	0			
62131636	2	0			
61808633	1	1989			
61666168	1	0			
59544611	2	1995			
55097871	1	0			
52645652	1	0			['Русский', 'English']
50024767	1	0			
48518011	1	0			
47259957	1	1996			
44910745	2	0			
38362898	2	1994			
36661369	1	0			
32176334	1	1991			
29546647	1	1992			
28386322	1	1992			
24697879	1	0			
22024387	1	1988			
19625671	1	1995			
16858638	1	1992			
16331354	1	0			
12706093	1	1990			
10226972	1	1983			
5980461	1	0			
4010634	1	1987			
1849914	2	1984			
1267158	1	1983			
287112463	2	0			
269823462	1	1996			
262438248	1	0			
235814952	1	2000			
214237435	2	1995			
201019736	1	1992			
198738620	1	0			
190736199	1	1997			
189262774	1	1997			
178436261	1	0			
173672384	2	1997			
167530540	1	2000			
166359377	1	0			
