uid	political	langs	religion	inspired_by	people_main	life_main	smoking	alcohol
101097164	2	0	Светский гуманизм	0	0	0	0	0
101166778	3	Русский Deutsch	Православие	0	6	8	1	1
103119053	3	Русский Deutsch	0	0	0	0	0	0
103844587	3	0	0	0	0	0	0	0
105117408	3	0	Православие	0	2	1	3	3
106413814	3	0	0	0	2	1	3	4
106996084	0	Русский English	Православие	0	0	0	0	0
107099697	3	0	Православие	0	2	6	1	4
107268374	3	0	0	0	2	1	2	2
108361933	4	0	Православие	0	5	7	2	0
108430245	0	0	0	0	0	0	0	0
111353022	0	Русский Deutsch Lingua Latina	Православие	0	5	1	2	1
111575937	0	0	0	0	2	1	4	4
11224242	6	Русский Deutsch	Православие	Музыка, Фотография	0	7	3	0
112255892	3	Русский English	0	Жизненный опыт, книги, музыка, фильмы	2	1	4	4
112895205	0	0	0	0	2	1	0	0
113454326	3	0	0	0	0	0	0	0
114465893	1	Русский English	Православие	Чувства***	2	1	1	4
116332057	0	Русский English Deutsch	0	0	0	0	0	0
11766570	0	0	0	0	0	0	0	0
118740062	0	0	0	Творчество группы "Король и Шут"	2	6	3	4
120202177	0	0	0	0	0	0	0	0
12021660	3	0	Атеизм	Охуительные истории, когда одна история охуительной другой	0	0	1	4
120220759	3	0	Православие	0	3	1	2	2
120359860	0	Русский English	0	Как-бы Сам незнаю	6	1	2	2
121380155	3	0	Православие	0	0	0	0	0
121884575	2	Русский English Українська Français	Православие	Радость  близких  людей=)))	2	1	2	2
121939519	0	0	0	аниме:)	2	1	1	1
122331551	3	0	Православие	Хорошее настроение	6	6	3	2
12251939	0	0	Христианство	Любовь	5	6	0	4
125534949	0	0	0	0	2	0	2	1
125962603	4	0	Православие	0	0	0	0	0
126071854	0	0	0	0	2	3	4	4
1267158	3	0	0	0	0	0	0	0
126726364	0	0	0	танцы и музыка	2	7	2	2
128445220	5	Русский English	Православие	0	2	6	4	4
128935653	3	0	Верю в себя	Мое настроение	2	3	4	5
130012639	3	0	Светский гуманизм	любовь и поддержка	2	5	2	3
13010282	4	0	бог един для всех	0	0	0	0	0
131882553	3	Русский Deutsch English	Православие	0	0	0	0	0
131905668	7	Русский English தமிழ்	0	0	1	1	4	2
132247693	3	0	Православие	0	0	0	0	0
132866870	0	0	0	0	0	0	0	0
133004653	3	Русский English Français	Православие	Css ну и конечно мои друзья)	3	3	5	5
133418651	0	0	0	0	0	0	0	0
133882239	8	0	эволюционная психология	воспоминания	2	3	1	1
134207857	0	0	0	0	0	0	0	0
134410464	1	Русский Français	Православие	0	0	0	0	0
134547148	0	0	0	0	2	1	0	0
