uid	id	country	city	name	year_from	year_to	year_graduated	class	speciality	type	type_str
101097164	281153	1	8171	Лицей (школа №8)	0	0	0		0	2	Лицей
101166778	86928	1	8171	Экономический колледж (ТЭК)	0	2015	2015		0	8	Колледж
103119053	27453	1	8171	Школа №1	2003	0	0	б	0	0	0
103844587	86928	1	8171	Экономический колледж (ТЭК)	2009	2013	2013		Программист	8	Колледж
105117408	48622	1	8171	Школа №4	2005	2008	2008	б	0	0	0
106413814	69417	1	8171	Школа №9	2004	0	0	а	0	0	0
106996084	1751259	1	8171	Лицей №1	0	0	0		0	0	0
107099697	35771	1	8171	Школа №7	2000	2003	2005	б	0	0	0
107268374	48622	1	8171	Школа №4	0	0	0		0	0	0
108361933	35771	1	8171	Школа №7	2002	2013	0	а	0	0	0
108430245	20661	1	8171	Лицей №1	2009	2013	2013	а	0	2	Лицей
111353022	9811	1	8171	Гимназия №1	2004	2013	0		0	1	Гимназия
111575937	295963	1	146	Медицинский колледж (ТОМК)	2010	0	0		0	8	Колледж
11224242	36811	1	146	Православная классическая гимназия (ТПКГ)	2000	2011	2011		0	1	Гимназия
112255892	367667	1	12864	Школа №1	2007	2012	0	а	0	0	0
112895205	465489	1	146	Железнодорожный техникум им. Б. Ф. Сафонова (бывш. Профессиональное училище №9 им. Б. Ф. Сафонова)	2011	2013	2013		Проводник билетный кассир	15	Проф. училище
113454326	35771	1	8171	Школа №7	0	0	0		0	0	0
114465893	50328	1	8171	Школа №20	1999	2009	2009	б	0	0	0
116332057	9811	1	8171	Гимназия №1	2003	2014	2014		0	1	Гимназия
11766570	28889	0	8171	Школа №27	1997	2007	2007		0	0	0
118740062	86928	1	8171	Экономический колледж (ТЭК)	2013	2016	2016	п	Программирование в компьютерных системах	8	Колледж
120202177	453948	1	8171	Профессиональный лицей №6	2014	2016	0		0	9	Проф. лицей
12021660	64926	1	2049	Школа №15	1998	2008	2008	а	0	0	0
120220759	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	2013	2015	0		Электрогазосварщик	8	Колледж
120359860	68418	1	62	Школа №23	2014	2015	2016	в	Хулиган	0	0
121380155	906350	1	8171	Вечерняя школа №1	2005	2008	2008	а	0	4	Вечерняя школа
121884575	84518	2	1503199	Школа №5	2004	2015	2015	б	0	0	0
121939519	55233	1	8171	Школа №8	0	0	0	а	0	0	0
122331551	295963	1	146	Медицинский колледж (ТОМК)	2011	2015	2015	б	Медсестринское дело	8	Колледж
12251939	334352	1	20950	Школа №5	1996	2006	2006		0	0	0
125534949	55233	1	8171	Школа №8	0	0	0	б	0	0	0
125962603	20661	1	8171	Лицей №1	0	0	0		0	2	Лицей
126071854	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	0	0	0		0	8	Колледж
1267158	55233	1	8171	Школа №8	1990	2000	2000	а	Инженерный класс	0	0
126726364	161226	1	146	Юридический колледж РС МПА	2015	2018	0		Правоохранительная деятельность	8	Колледж
128445220	144000	1	1108784	Школа №22	2000	2009	0		0	0	0
128935653	35771	1	8171	Школа №7	1999	2007	2007	б	0	0	0
130012639	20661	1	8171	Лицей №1	0	2008	0	в	Соц. - эконом	2	Лицей
13010282	122894	1	8171	гимназия №1	0	2008	0	в	0	0	0
131882553	29051	1	317	Школа №2	1999	2008	2008	 9	Учиница	0	0
131905668	52915	1	8171	Школа №13	0	0	2010	б	0	0	0
132247693	29051	1	317	Школа №2	1995	1996	1996	а	0	0	0
132866870	453948	1	8171	№6	2008	2011	2011		автомеханник	9	Проф. лицей
133004653	37244	1	1	Школа №11	2007	2018	2007	б	0	0	0
133418651	27453	1	8171	Школа №1	0	0	0		0	0	0
133882239	26380	1	5689	Школа №17	1996	2006	2006	г	0	0	0
134207857	442290	1	146	Профессиональный лицей №26	2011	2014	0	 5	Парикмахер	9	Проф. лицей
134410464	9811	1	8171	Гимназия №1	2000	2011	2012	а	0	1	Гимназия
134547148	60497	1	8171	Школа №12	0	0	0		0	0	0
134641539	9811	1	8171	Гимназия №1	0	0	0		0	1	Гимназия
135519392	33889	1	8048	Школа №26	0	0	2014		0	0	0
135679680	69417	1	8171	Школа №9	2002	2012	2012	 9	ученик	0	0
136157926	52915	1	8171	Школа №13	2003	2015	0	а	0	0	0
136351913	86453	1	11063	Приупская средняя школа	2007	0	0		0	0	0
137310608	9459	1	8171	Школа №6	0	0	0		0	0	0
137626269	317855	1	4425	Школа-интернат	2006	2013	2013		0	3	Школа-интернат
137764073	159072	1	146	Педагогический колледж №2	2013	0	0		Дошкольное образование	8	Колледж
138286351	9811	1	8171	Гимназия №1	2002	2010	0		0	1	Гимназия
138640209	442290	1	146	Профессиональный лицей №26	2013	2016	2016		Парикмахерское искусство	9	Проф. лицей
138654723	50328	1	8171	Школа №20	2004	2015	2015	а	0	0	0
138947615	55233	1	8171	Школа №8	1974	1984	1984	б	0	0	0
139524582	48622	1	8171	Школа №4	2006	2018	2018	б	0	0	0
139906286	295963	1	146	Медицинский колледж (ТОМК)	2012	2016	0		0	8	Колледж
140269314	52915	1	8171	Школа №13	1999	2009	2009	а	0	0	0
141607227	48622	1	8171	Школа №4	2000	2011	2011	а	0	0	0
141886622	64926	1	2049	Школа №15	1994	2002	0	а	0	0	0
142666601	50328	1	8171	Школа №20	2008	2012	0		0	0	0
143036487	35771	1	8171	Школа №7	0	0	0	г	0	0	0
143212995	48622	1	8171	Школа №4	2000	2007	2007		0	0	0
143870545	50328	1	8171	Школа №20	0	0	0		0	0	0
143937116	453948	1	8171	Профессиональный лицей №6	2012	2015	2015	а	автомеханник	9	Проф. лицей
144305918	52915	1	8171	Школа №13	2001	2011	0	б	0	0	0
144384926	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	0	0	0		0	8	Колледж
144547872	161226	1	146	Юридический колледж РС МПА	0	0	0		0	8	Колледж
145486732	9811	1	8171	Гимназия №1	1997	1998	0		0	1	Гимназия
145976736	50328	1	8171	Школа №20	2002	2014	2014	 11	0	0	0
146266258	368402	1	146	Школа №15	1996	2006	0	б	0	0	0
146472484	465489	1	146	Железнодорожный техникум им. Б. Ф. Сафонова (бывш. Профессиональное училище №9 им. Б. Ф. Сафонова)	0	0	0		машинист локомотива 	15	Проф. училище
146926655	50328	1	8171	Школа №20	0	0	2014		0	0	0
146981378	33889	1	8048	Школа №26	2002	2013	2013		0	0	0
147422563	60497	1	8171	Школа №12	1990	2000	2000	б	0	0	0
148237544	9459	1	8171	Школа №6	2005	2016	0		0	0	0
149926777	52915	1	8171	Школа №13	2001	2011	2011	а	0	0	0
150499715	50328	1	8171	Школа №20	0	0	0	а	0	0	0
151529741	9811	1	8171	Гимназия №1	0	0	0	а	0	1	Гимназия
151617999	9811	1	8171	Гимназия №1	2002	2004	2004		0	1	Гимназия
152261903	63675	1	8171	Школа №11	2004	2013	2013		0	0	0
152366760	50328	1	8171	Школа №20	2003	2014	0	а	0	0	0
152420798	63675	1	8171	Школа №11	0	0	0	б	0	0	0
152550269	295532	1	146	Школа №1	0	0	0		0	0	0
152756391	86928	1	8171	Экономический колледж (ТЭК)	2011	2015	2015		Бухгалтер	8	Колледж
152928760	48622	1	8171	Школа №4	1982	1992	1992	а	втирание мозгов	0	0
153301732	740083	1	12864	Политехнический техникум (ЛПТ)	0	0	0		0	10	Техникум
153605143	52915	1	8171	Школа №13	2007	2018	2018	а	0	0	0
154052016	322614	1	146	Школа №25	0	0	0		0	0	0
154747622	16459	1	317	Школа №5	2004	2016	2016	а	0	0	0
154789885	9459	1	8171	Школа №6	2006	2017	2017	а	0	0	0
155374096	281153	1	8171	Лицей (школа №8)	2010	0	0	б	0	2	Лицей
156283535	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	2014	2018	0		0	8	Колледж
156453272	20661	1	8171	Лицей №1	0	0	0		0	2	Лицей
157958659	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	2015	0	0		Сварщик(газоэлектросварщик)	8	Колледж
158131106	27453	1	8171	Школа №1	0	1987	1987		0	0	0
158870066	9811	1	8171	Гимназия №1	2006	2015	0		0	1	Гимназия
161870531	9811	1	8171	Гимназия №1	2007	2018	2018	а	0	1	Гимназия
162753365	21875	1	146	Школа №71	0	0	0	в	0	0	0
163291878	86928	1	8171	Экономический колледж (ТЭК)	2004	2007	2007		бухгалтер экономист	8	Колледж
16331354	9459	1	1108923	Школа №6	1999	2010	2010	б	0	0	0
163510469	313370	1	964	Технологический колледж (бывш. ПУ №10, ПУ №13)	2010	2013	2013	 11	автомеханик	15	Проф. училище
164703042	13059	1	2049	Школа №16	2002	2012	0		0	0	0
16493007	402255	2	1509755	Школа №5	2006	2010	2010	 4	0	0	0
165007996	69417	1	8171	Школа №9	2010	2018	0	а	0	0	0
165800853	9459	1	8171	Школа №6	1999	2009	0	а	0	0	0
166583258	60497	1	8171	Школа №12	0	2006	2006	б	0	0	0
167313852	50328	1	8171	Школа №20	0	0	0		0	0	0
167629320	27453	1	8171	Школа №1	2008	2019	0	а	0	0	0
167645908	69417	1	8171	Школа №9	2001	2009	0	а	0	0	0
167853435	55233	1	8171	Школа №8	1999	2001	2001	в	0	0	0
16858638	35771	1	8171	Школа №7	1999	2009	2009	б	0	0	0
170197638	20661	1	8171	Лицей №1	2003	2008	0	б	0	2	Лицей
170624127	63675	1	8171	Школа №11	0	0	2003	а	0	0	0
170947213	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	0	0	0		0	8	Колледж
172328493	9811	1	8171	Гимназия №1	0	0	0		0	1	Гимназия
172403273	253914	1	146	Технико-экономический колледж им. А. Г. Рогова	0	0	0		0	8	Колледж
172760484	35771	1	8171	Школа №7	0	0	0		0	0	0
173672384	295532	1	146	Школа №1	0	0	0		0	0	0
173939616	906379	1	1108870	Крапивенский лесхоз-техникум	2013	2017	0		садово-парковое и ландшафтное стр-во	10	Техникум
174177083	48622	1	8171	Школа №4	0	0	0	 8	0	0	0
174385156	48622	1	8171	Школа №4	2009	2019	1950	б	0	0	0
174707148	7851	1	146	Школа №13	0	0	0		0	0	0
175490408	35771	1	8171	Школа №7	2006	2016	2018	в	0	0	0
176654052	64926	1	2049	Школа №15	2001	2020	2008	а	0	0	0
176661115	146341	1	146	Техникум технологий пищевых производств (бывш. Профессиональный лицей №42)	2014	2017	0		пекарь	9	Проф. лицей
176796181	9459	1	8171	Школа №6	2002	2014	2014	 11	школьник	0	0
176879776	35771	1	8171	Школа №7	1998	2006	2010	в	Секретарь-референт	0	0
177603979	47313	1	146	Лицей №3	0	0	2010	а	0	2	Лицей
178433037	69417	1	8171	Школа №9	0	0	0		0	0	0
178994298	52915	1	8171	Школа №13	0	0	0		0	0	0
179795601	281153	1	8171	Лицей (школа №8)	2002	2013	2013	б	0	2	Лицей
179808580	35771	1	8171	Школа №7	2006	2017	2017	а	0	0	0
180249717	35771	1	8171	Школа №7	1997	2005	2005	б	0	0	0
180515233	27453	1	8171	Школа №1	0	0	0		0	0	0
180802521	55233	1	8171	Школа №8	0	2013	2013	а	0	0	0
183049474	35771	1	8171	Школа №7	0	0	0		0	0	0
183294593	69417	1	8171	Школа №9	0	0	0		0	0	0
183616542	29625	1	1	Школа №1	2002	2013	2013	б	0	0	0
184193388	27453	1	8171	Школа №1	2010	2021	2021	а	0	0	0
185288764	64926	1	2049	Школа №15	0	0	2017		0	0	0
185738690	27453	1	8171	Школа №1	2009	2015	0	 9	0	0	0
189129512	35771	1	8171	Школа №7	2010	2013	2009	г	сестринское дело	0	0
189248897	48622	1	8171	Школа №4	2009	2020	0	а	0	0	0
189262774	442290	1	146	Профессиональный лицей №26	0	0	0		Гостиничный сервис 	9	Проф. лицей
189597128	161226	1	146	Юридический колледж РС МПА	2013	0	0		Правоохранительная деятельность	8	Колледж
190349471	52915	1	8171	Школа №13	2001	2011	2011	б	0	0	0
190736199	86928	1	8171	Экономический колледж (ТЭК)	2014	2017	0		 Страхового Дела	8	Колледж
190939139	9459	1	8171	Школа №6	0	0	2021	а	0	0	0
191557653	906350	1	8171	Вечерняя школа №1	2013	0	0		0	4	Вечерняя школа
1919512	281153	1	8171	Лицей (школа №8)	2000	2005	2005	в	Физ-мат	2	Лицей
19426810	55233	1	8171	Школа №8	1997	2008	2008	а	0	0	0
196086008	73648	1	8171	Политехнический колледж (ЩПК, бывш. ЩХМТ)	0	0	0		0	8	Колледж
196319356	47506	1	55	Школа №50	0	0	0	а	0	0	0
197307490	50328	1	8171	Школа №20	0	0	0		0	0	0
197475876	55233	1	8171	Школа №8	0	0	0		0	0	0
197575945	105613	1	146	Коммунально-строительный техникум (ТГКСТ)	2015	2019	0	с	0	10	Техникум
