uid	sex
100023994	1
100034851	1
100373470	1
10055011	1
100649384	1
100974179	2
101014334	2
101097164	2
101166778	2
101271415	2
101627586	2
102175068	1
10226972	1
102274414	1
102623981	1
103119053	1
103292327	1
103792696	2
103844587	2
104050948	2
104087666	2
104313189	1
104406422	1
104685775	1
105117408	1
105724140	1
105855777	2
105947598	1
106244617	2
106320582	1
106413814	1
106996084	1
107099697	1
107268374	2
107644443	1
10772683	1
108019195	2
108161721	1
108361933	1
108430245	1
108464458	1
109071265	1
109553365	2
10965035	1
110364832	1
110613239	1
110637037	1
111353022	1
11140018	1
111575937	1
111613672	1
11224242	1
112255892	2
112784226	2
112858339	1
112895205	1
113228611	1
113311150	2
113454326	2
113563141	1
114465893	1
115051398	2
115139993	1
115849397	2
116011844	2
116332057	1
117131585	2
11766570	1
117788573	1
118195127	1
118598867	1
118740062	1
118904841	1
119002354	2
11905767	1
119802322	1
119921283	2
120198486	1
120202177	2
12021660	2
120220759	2
120359860	2
120507971	1
121374577	1
121380155	2
121732372	1
121884575	1
121939519	1
122331551	2
122508038	1
12251939	1
122535367	1
12274696	1
123509490	1
123530575	1
124448889	1
124477242	2
125202386	1
125534949	1
125880661	1
125962603	1
126071854	2
126211134	1
1267158	1
126726364	1
12706093	1
128119980	1
128445220	2
128906330	1
128935653	2
130012639	1
13010282	1
13076330	1
13120265	1
131667662	1
131777454	2
131780834	1
131882553	1
131886935	1
131905668	1
131919179	2
132025837	2
132247693	2
132293109	1
132740997	1
132866870	2
132917456	1
133004653	2
133418651	1
133734762	1
133882239	2
133974021	1
134015441	2
134017849	1
134022776	1
134207857	1
134320536	1
134410464	2
134410924	2
134416681	2
134438473	1
134547148	1
134641539	1
134710162	1
134839224	1
134841896	2
134995689	2
135062195	1
135132242	2
135519392	1
135573946	1
135591652	1
135679680	2
135899524	1
136157926	1
136321575	1
136347570	1
136351913	1
13636653	1
136782272	1
137098609	1
137183666	2
137310608	1
137570994	1
137626269	1
137739137	1
137764073	1
138212662	2
138286351	1
138338047	1
138379946	1
138605556	1
138613236	2
138613714	2
138640209	1
138654723	2
138947615	2
139524582	2
139531486	2
139838581	1
139906286	2
139907337	1
140128163	1
140269314	2
140419448	2
140806624	1
140953950	2
141607227	2
141681491	1
141886622	2
141925677	2
141971503	1
142150268	1
142312365	2
142666601	2
142809956	2
142839080	2
143036487	1
143209136	2
143212995	1
143351660	2
143495021	1
143870545	2
143937116	2
14426110	1
144305918	1
144384926	2
144547872	1
144745369	1
144805318	1
144865240	1
144907986	1
145101166	2
145193923	2
145341117	1
14547442	1
145486732	1
145976736	2
146211898	1
146266258	1
146449573	1
146472484	2
146618345	1
146632870	1
146926655	1
146981378	1
147067845	1
147182231	2
147251192	2
147303540	2
147367047	1
147422563	1
147508310	1
147530545	2
147558220	1
147658799	1
147658843	2
148176306	1
148198117	1
148237544	1
148238903	1
148273308	1
148281724	1
149926777	1
150490839	2
150499715	2
150500077	1
150530151	1
150943432	1
151070067	2
151132459	1
151365008	1
151451980	1
151529741	1
151617999	1
152261903	2
152366760	1
152420798	1
152517737	1
152550269	2
152636	1
152756391	1
152785131	1
152795348	1
152861728	2
152928760	1
153070686	2
153222295	1
153301732	1
153340101	1
153386822	2
153605143	1
153678651	2
153898000	1
154052016	1
154234317	2
154266613	1
154276834	1
154747622	2
154758083	2
154771235	2
154789885	1
154853156	1
155284808	1
155374096	1
155417630	2
155571921	1
155842875	1
155962394	2
156283535	2
156453272	2
156681769	2
156894885	1
157179310	2
157424033	1
157498888	1
157958659	2
157970304	2
158107264	1
158131106	1
158157707	1
158296610	1
158686041	1
158870066	2
159568570	2
159954488	1
16110214	1
161870531	1
161880296	1
16193885	1
162160924	1
162589280	1
162753365	2
163291878	1
16331354	1
163382295	1
163403180	1
163469776	1
163510469	2
163700498	2
164196297	1
164203509	1
16436366	1
164668536	1
164703042	1
16493007	2
165007996	2
165222151	2
165506338	1
165794419	2
165800853	1
166359377	1
166517343	1
166583258	2
167313852	2
16751035	2
167530540	1
167629320	1
167645908	1
167699472	1
167853435	1
167874197	1
168581472	1
16858638	1
169708193	2
170083150	1
170197638	1
170624127	1
170947213	1
17209952	2
172296251	2
172328493	1
172403273	1
172760484	1
173489697	1
173672384	2
173939616	1
173963375	1
174177083	2
174385156	1
174707148	2
175490408	1
17551167	2
176654052	2
176661115	2
176796181	2
176879776	1
176912816	1
177603979	1
178433037	1
178436261	1
178566277	1
178994298	2
179298134	1
179526171	2
179795601	1
179808580	1
179865738	2
180249717	1
180515233	2
180802521	1
18246812	1
183049474	2
183294593	1
183505809	2
183517711	1
18354748	2
183616542	2
184193388	1
184581842	1
184911203	2
1849914	2
185151803	1
185288764	1
185473163	2
185514868	1
185526793	1
185738690	2
186386694	2
186725210	1
187654086	1
187672435	1
188517147	1
189081425	1
189129512	1
189245590	1
189248897	1
189262774	1
189597128	1
190349471	1
190642172	1
190736199	1
190939139	1
191262137	1
191266942	1
191557653	1
191902671	2
1919512	1
193301497	1
193662059	1
19426810	2
194409634	1
194449792	1
195228902	1
196086008	2
19625671	1
196319356	1
197307490	1
197475876	1
197575945	2
197902150	1
19856086	1
198670244	2
198738620	1
198832746	1
199700767	1
200145181	1
20081024	1
201019736	1
201415888	1
201519221	2
203288956	2
203633366	1
204481120	1
204583622	2
20466775	1
204696605	2
205033203	1
207099516	2
207515574	1
207525610	1
207641795	2
20765706	1
208787434	1
209084195	1
209695661	1
209988300	1
21082651	2
212220301	1
2125628	1
214237435	2
215072110	1
215125327	1
21573076	1
216472077	2
21672312	1
216759630	1
216918265	1
216978963	1
218211751	2
218564934	1
219288203	1
219352063	2
219754935	1
22024387	1
22085729	1
221965545	1
222997547	1
223377973	2
22387246	1
22447129	2
2245382	1
22601199	1
226264218	1
22681469	2
22772147	2
227929363	1
228125194	2
22814470	1
228874068	2
229006543	1
229333319	2
22946314	1
229585071	2
229990607	2
230258737	1
23064609	1
23067544	1
23094545	2
23175544	2
231836631	2
23317272	1
234380881	2
23468502	1
235581193	1
235814952	1
236699959	1
237227716	2
23736054	1
238753721	1
239133052	2
239250099	2
239453325	1
24028388	1
241087874	1
241471299	1
242258251	1
24289505	2
243726016	2
2443362	1
24442546	1
24697879	1
247602534	1
247819751	1
2478549	1
2496256	1
250050548	1
25022769	1
25056964	1
253128354	2
253323405	2
25361901	1
254712613	2
2559200	1
25685572	2
257522782	2
257556810	1
25802330	1
258447313	1
259550002	1
26049185	2
261384569	1
261526241	1
26168499	1
262438248	1
26295331	1
26339208	1
264064974	1
26482552	1
265654729	1
265871468	1
26662486	2
26680615	1
269823462	1
270525864	1
27123503	1
272316821	1
27307463	1
278665313	2
28059339	2
28175428	2
283458949	1
28386322	1
28459360	1
28659446	1
287044653	1
287112463	2
288498904	1
28991373	1
29074498	1
291648471	1
293033884	2
2938187	1
29546647	1
29580599	2
29668820	2
296730938	1
297239032	1
297409242	1
30017525	1
30198986	1
302202756	2
30421943	1
30825794	1
308935137	2
312043	2
312991495	1
313058499	1
31366409	1
31444966	1
314820217	2
31578662	2
31582553	2
318275725	1
318938405	1
32072302	1
32176334	1
32274697	2
32499519	1
32617753	2
326790393	1
32845386	2
32863838	1
328874039	1
32942383	2
32989967	2
33055514	1
336853287	1
33701026	1
337992171	1
33999858	1
34273435	2
34375203	1
34533875	1
346186228	1
