uid	id	country	city	name	faculty	faculty_name	chair	chair_name	graduation
101097164	0	0	0	0	0	0	0	0	0
101166778	856	1	8171	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	77864	Строительства, строительных материалов и конструкций	0
103119053	0	0	0	0	0	0	0	0	0
103844587	0	0	0	0	0	0	0	0	0
105117408	0	0	0	0	0	0	0	0	0
106413814	0	0	0	0	0	0	0	0	0
106996084	0	0	0	0	0	0	0	0	0
107099697	3163	1	8171	РЭУ им. Г.В. Плеханова (ТФ)	36030	Финансы и кредит	0	0	2011
107268374	0	0	0	0	0	0	0	0	0
108361933	77673	1	146	ВГУЮ (ТФ) (бывш. ТФ РПА МЮ РФ)	0	0	0	0	0
108430245	0	0	0	0	0	0	0	0	0
111353022	0	0	0	0	0	0	0	0	0
111575937	0	0	0	0	0	0	0	0	0
11224242	856	1	146	ТулГУ	104418	Институт права и управления (бывш. Экономики и менеджмента, Юридический)	69310	Финансов и менеджмента	2015
112255892	0	0	0	0	0	0	0	0	0
112895205	0	0	0	0	0	0	0	0	0
113454326	0	0	0	0	0	0	0	0	0
114465893	3283	1	8171	ВЗФЭИ	89890	Государственное и муниципальное управление	0	0	2016
116332057	242	1	1	МГЛУ (бывш. МГПИИЯ им. Мориса Тореза)	879300	Институт иностранных языков им. Мориса Тореза	0	0	2018
11766570	855	1	146	ТГПУ им. Толстого	94601	Русской филологии и документоведения 	1750812	Документоведения и стилистики русского языка	2012
118740062	0	0	0	0	0	0	0	0	0
120202177	0	0	0	0	0	0	0	0	0
12021660	855	1	146	ТГПУ им. Толстого	19948	Технологий и бизнеса	0	0	2013
120220759	0	0	0	0	0	0	0	0	0
120359860	0	0	0	0	0	0	0	0	0
121380155	0	0	0	0	0	0	0	0	0
121884575	8981	2	1503199	ДонНУ	35031	Экономический	60487	Управления персоналом и экономики труда	0
121939519	0	0	0	0	0	0	0	0	0
122331551	0	0	0	0	0	0	0	0	0
12251939	860	1	147	ТГАКИСТ (бывш. ТГАКИ)	210999	Институт социокультурного сервиса и информационных технологий	64672	Менеджмент социально-культурной деятельности	2011
125534949	0	0	0	0	0	0	0	0	0
125962603	856	1	8171	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	67409	Энергетических и санитарно-технических систем и оборудования	2011
126071854	0	0	0	0	0	0	0	0	0
126726364	0	0	0	0	0	0	0	0	0
128445220	0	0	0	0	0	0	0	0	0
128935653	0	0	0	0	0	0	0	0	0
130012639	856	1	146	ТулГУ	104418	Институт права и управления (бывш. Экономики и менеджмента, Юридический)	226242	Гражданского права и процесса	2014
13010282	9332	1	1	РМАТ (ТФ)	58521	Менеджмент организации	0	0	2013
131882553	0	0	0	0	0	0	0	0	0
131905668	855	1	8171	ТГПУ им. Толстого	228976	Психологии	572927	Специальной психологии	0
132247693	0	0	0	0	0	0	0	0	0
132866870	0	0	0	0	0	0	0	0	0
133004653	0	0	0	0	0	0	0	0	0
133418651	0	0	0	0	0	0	0	0	0
133882239	770	1	5689	РязГМУ им. Павлова	195554	Лечебный	133395	Лечебное дело	0
134207857	0	0	0	0	0	0	0	0	0
134410464	856	1	8171	ТулГУ	101653	Институт прикладной математики и компьютерных наук (бывш. Кибернетики, Механико-математический)	112086	Прикладной математики и информатики	0
134547148	856	1	1018819	ТулГУ	104418	Институт права и управления (бывш. Экономики и менеджмента, Юридический)	69310	Финансов и менеджмента	0
134641539	0	0	0	0	0	0	0	0	0
135519392	0	0	0	0	0	0	0	0	0
135679680	0	0	0	0	0	0	0	0	0
136157926	0	0	0	0	0	0	0	0	0
136351913	0	0	0	0	0	0	0	0	0
137310608	3163	1	8171	РГТЭУ (ТФ)	36030	Финансы и кредит	0	0	0
137626269	855	1	4425	ТГПУ им. Толстого	31439	Истории и права 	241088	Правовых дисциплин	2017
137764073	0	0	0	0	0	0	0	0	0
138286351	3163	1	8171	РЭУ им. Г. В. Плеханова (ТФ)	0	0	0	0	0
138640209	86767	1	8171	ТулГУ (ЩФ)	0	0	0	0	2016
138654723	855	1	8171	ТГПУ им. Толстого	2163959	Физической культуры	1750810	Теории и методики физической культуры и спортивных дисциплин	0
138947615	0	0	0	0	0	0	0	0	0
139524582	0	0	0	0	0	0	0	0	0
139906286	0	0	0	0	0	0	0	0	0
140269314	0	0	0	0	0	0	0	0	0
141607227	0	0	0	0	0	0	0	0	0
141886622	0	0	0	0	0	0	0	0	0
142666601	856	1	146	ТулГУ	2082937	Транспортных и технологических систем (Политехнический институт)	0	0	0
143036487	0	0	0	0	0	0	0	0	0
143212995	86767	1	8171	ТулГУ (ЩФ)	0	0	0	0	2015
143870545	0	0	0	0	0	0	0	0	0
143937116	0	0	0	0	0	0	0	0	0
144305918	856	1	8171	ТулГУ	101653	Институт прикладной математики и компьютерных наук (бывш. Кибернетики, Механико-математический)	1840122	Робототехники и автоматизации производства	2015
144384926	0	0	0	0	0	0	0	0	0
144547872	0	0	0	0	0	0	0	0	0
145486732	0	0	0	0	0	0	0	0	0
145976736	855	1	146	ТГПУ им. Толстого	120635	Математики, физики и информатики	0	0	0
146266258	193	1	8171	МИЭП	2149787	Экономики и управления	1815810	Бухгалтерского учёта, анализа и аудита	2013
146472484	0	0	0	0	0	0	0	0	0
146926655	855	1	8171	ТГПУ им. Толстого	31439	Истории и права 	241088	Правовых дисциплин	0
146981378	217	1	8171	РГАУ-МСХА им. Тимирязева	2057	Технологический	0	0	0
147422563	0	0	0	0	0	0	0	0	0
148237544	0	0	0	0	0	0	0	0	0
149926777	855	1	146	ТГПУ им. Толстого	1243761	Искусств, социальных и гуманитарных наук 	818609	Педагогики и психологии организации работы с молодежью	2015
150499715	0	0	0	0	0	0	0	0	0
151529741	0	0	0	0	0	0	0	0	0
151617999	855	1	146	ТГПУ им. Толстого	0	0	0	0	2009
152261903	0	0	0	0	0	0	0	0	0
152366760	856	1	146	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	0	0	0
152420798	86767	1	8171	ТулГУ (ЩФ)	0	0	0	0	0
152550269	0	0	0	0	0	0	0	0	0
152756391	0	0	0	0	0	0	0	0	0
152928760	86767	1	8171	ТулГУ (ЩФ)	0	0	0	0	1997
153301732	0	0	0	0	0	0	0	0	0
153605143	0	0	0	0	0	0	0	0	0
154052016	0	0	0	0	0	0	0	0	0
154747622	106	1	317	ВУ МО РФ (бывш. ВПА им. Ленина)	12157	Финансово-экономический военный институт	0	0	0
154789885	0	0	0	0	0	0	0	0	0
155374096	0	0	0	0	0	0	0	0	0
156283535	0	0	0	0	0	0	0	0	0
156453272	525839	1	8171	KV Zürich Business School	932112		0	0	0
157958659	0	0	0	0	0	0	0	0	0
158131106	35811	1	8171	МУ МВД РФ (ТФ)	5755	Юриспруденция	0	0	2005
158870066	0	0	0	0	0	0	0	0	0
161870531	0	0	0	0	0	0	0	0	0
162753365	0	0	0	0	0	0	0	0	0
163291878	0	0	0	0	0	0	0	0	0
16331354	3283	1	8171	Финансовый университет при Правительстве РФ (ТФ) (бывш. ВЗФЭИ)	7586	Менеджмент организации	441060	Менеджмента и маркетинга 	2016
163510469	0	0	0	0	0	0	0	0	0
164703042	0	0	0	0	0	0	0	0	0
16493007	0	0	0	0	0	0	0	0	0
165007996	0	0	0	0	0	0	0	0	0
165800853	1166380	1	8171	ИЗУ ВПА	2112125	Юридический (Права и управления)	0	0	2015
166583258	0	0	0	0	0	0	0	0	0
167313852	0	0	0	0	0	0	0	0	0
