path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country		region	language
C:\search\corpora\2016\02\				Ульяновская правда - В селах Ульяновской области отмечают национальные праздники	19.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22595	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в село ульяновский область отмечать национальный праздник

C:\search\corpora\2016\02\				Ульяновская правда - Культурной столицей малых городов России-2015 стал Димитровград	16.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22459	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - культурный столица малый город россия-2015 становиться димитровград

C:\search\corpora\2016\02\				Ульяновская правда - Новосёлки обновят	14.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22431	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - новоселка обновлять

C:\search\corpora\2016\02\				Ульяновская правда - На Сабантуй в Старую Кулатку пригласят гостей из Казани	08.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22262	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - на сабантуй в старый кулатка приглашать гость из казань

C:\search\corpora\2016\02\				Ульяновская правда - В Вешкайме пройдут выборы	05.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22219	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в вешкайма проходить выборы

C:\search\corpora\2016\01\				Ульяновская правда - В Цильнинском районе прошел фольклорный фестиваль	28.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22017	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в цильнинский район проходить фольклорный фестиваль

C:\search\corpora\2016\01\				Ульяновская правда - Один день из жизни новоселов 	28.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22008	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - один день из жизнь новосел 

C:\search\corpora\2016\01\				Ульяновская правда - В Ульяновской области продолжается акция «Защити свою жизнь»	25.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21911	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновский область продолжаться акция «защищать свой жизнь»

C:\search\corpora\2016\01\				Ульяновская правда - Ульяновцев в День рождения области поздравили концертом	20.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21816	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец в день рождение область поздравлять концерт

C:\search\corpora\2016\01\				Ульяновская правда - В детских садах Инзенского района запущена программа «Добрый мир»	20.01.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-21814	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - в детский сад инзенский район запускать программа «добрый мир»

C:\search\corpora\2016\02\				Ульяновская правда - Александр Братяков: Деньги нужны крестьянину вовремя	18.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22558	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - александр братяк: деньги нужный крестьянин вовремя

C:\search\corpora\2016\02\				Ульяновская правда - Олег Асмус рассказал о планах на 2016 год	17.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22534	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - олег асмус рассказывать о план на 2016 год

C:\search\corpora\2016\02\				Ульяновская правда - Лидия Ларина: Люди хотят слушать классическую музыку	17.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22527	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - лидия ларина: человек хотеть слушать классический музыка

C:\search\corpora\2016\02\				Ульяновская правда - Юрий Озимков: С первого же "квартирника" у нас всегда полный зал слушателей!	16.02.2016.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-22480	Ульяновская правда		2016	газета	Россия	Ульяновская область	ru	ульяновский правда - юрий озимок: с первый же "квартирник" у мы всегда полный зал слушатель!

